rank,player,team,goals,assists,points
298,Stefano Carvajal,Carteret,1,1,3
299,Tiago Viera,Edison,1,1,3
300,Uzoma Chukwu,Piscataway,1,1,3
301,Christian Tay,Monroe,0,3,3
302,Dharren Culver,Wardlaw-Hartridge,0,3,3
303,Diogo DeJesus,Carteret,0,3,3
304,Francesco Carabajal,Woodbridge,0,3,3
305,Jeremy Mark,Metuchen,0,3,3
306,Richard Omondi,Edison,0,3,3
307,Sanjit Mandava,Edison,0,3,3
308,Aarush Batra,Edison Magnet,1,0,2
309,Adhvik Pathapati,North Brunswick,1,0,2
310,Aditya Dwasari,J.P. Stevens,1,0,2
311,Ali Mahgoub,Carteret,1,0,2
312,Angel Berley,Carteret,1,0,2
313,Antonio Gonzalez,East Brunswick Magnet,1,0,2
314,Aryan Shah,Edison,1,0,2
315,Ashmit Chhabria,Woodbridge,1,0,2
316,Ayden Moreno,Middlesex,1,0,2
317,Brandon Berly,Carteret,1,0,2
318,Brandon Garrido,North Plainfield,1,0,2
319,Braydon Paczkowski,Sayreville,1,0,2
320,Bryan Alvarado,Perth Amboy,1,0,2
321,Byron Saldana,Perth Amboy,1,0,2
322,Caden Leu,Wardlaw-Hartridge,1,0,2
323,Cesar Andres Fermin Alarcon,Dunellen,1,0,2
324,Chris Ahn,Metuchen,1,0,2
325,Corey William Powell,Piscataway,1,0,2
326,D'Alessandro Gonzalez,New Brunswick,1,0,2
327,Damien Simon,South Plainfield,1,0,2
328,Daniel Portero,Dunellen,1,0,2
329,Dariel Sarano Ramirez,Perth Amboy,1,0,2
330,Dhruv Khilari,Woodbridge Magnet,1,0,2
331,Divad John,New Brunswick,1,0,2
332,Eashaan Bhattacharyya,Metuchen,1,0,2
333,Erick Rodriguez,North Plainfield,1,0,2
334,Ethan Amador,St. Thomas Aquinas,1,0,2
335,Ethan Arkoh,Woodbridge Magnet,1,0,2
336,George Camerillo,North Brunswick,1,0,2
337,Giovanny Ramos,Perth Amboy,1,0,2
338,Habib Kassogue,Metuchen,1,0,2
339,Hariharan Manimaran,Edison Magnet,1,0,2
340,Harsha Vegiraju,Woodbridge Magnet,1,0,2
341,Helmi Khalil,South Amboy,1,0,2
342,Jaden Yee,St. Joseph (Met.),1,0,2
343,Jaival Jariwala,Edison Magnet,1,0,2
344,Jampee Meme,Woodbridge,1,0,2
345,Jefferson Olivares,Dunellen,1,0,2
346,Johao Chacon,Dunellen,1,0,2
347,Jonah Backenroth,Highland Park,1,0,2
348,Jonathan Branz,North Brunswick,1,0,2
349,Jonathan Juarez,New Brunswick,1,0,2
350,Jose Menjivar,Perth Amboy,1,0,2
351,Keony Henao,J.P. Stevens,1,0,2
352,Kevin Rand,Middlesex,1,0,2
353,Kuljot Sindhar,Wardlaw-Hartridge,1,0,2
354,Luis Perez,Wardlaw-Hartridge,1,0,2
355,Luis Ramirez,North Brunswick,1,0,2
356,Luke Murphy,St. Joseph (Met.),1,0,2
357,Mateo Penuala,Piscataway Magnet,1,0,2
358,Matthew Jaruczek,South River,1,0,2
359,Matthew Puello,Edison,1,0,2
360,Michael Rivas,South River,1,0,2
361,Noah Poythress,South Brunswick,1,0,2
362,Noah Rakvica,Spotswood,1,0,2
363,Obeniel Cruz,New Brunswick,1,0,2
364,Omar Elgebally,South Plainfield,1,0,2
365,Owen Daly,Colonia,1,0,2
366,Pedro Lemus,Monroe,1,0,2
367,Prakhar Maheshwari,Iselin Kennedy,1,0,2
368,Ralphie Lengyel,South Amboy,1,0,2
369,Rishi Patel,Monroe,1,0,2
370,Robert Perillo,East Brunswick,1,0,2
371,Samuel Garcia,Dunellen,1,0,2
372,Shrest Kummarapurugu,J.P. Stevens,1,0,2
373,Sreyanz Pusapati,South Brunswick,1,0,2
374,Stelio Lyristis,St. Joseph (Met.),1,0,2
375,Steven Samayoa,Dunellen,1,0,2
376,Tayib Fullerton,South Amboy,1,0,2
377,Teja Mareddy,Old Bridge,1,0,2
378,Tomas Ferreira,South River,1,0,2
379,Vamig Shahpalangov,Iselin Kennedy,1,0,2
380,Vidur Jain,South Brunswick,1,0,2
381,William Ghanim,Dunellen,1,0,2
382,Xavier Branco,Old Bridge,1,0,2
383,Yaroslav Kovalchuk,Edison,1,0,2
384,Zachary Harlan,Timothy Christian,1,0,2
385,Abdel Carrion,Edison,0,2,2
386,Adriel Friere,Somerset Tech,0,2,2
387,Alejandro Gonzalez-Ruiz,Somerset Tech,0,2,2
388,Alexis Velasquez,Piscataway,0,2,2
389,Anthony Dias,Calvary Christian (Old Bridge),0,2,2
390,Anthony Mangano,Sayreville,0,2,2
391,Anthony Munoz,Piscataway Magnet,0,2,2
392,Ayon Barman,Carteret,0,2,2
393,Christian Valdez,Colonia,0,2,2
394,David Naranjo,South River,0,2,2
395,Divyesh Kuppam,Woodbridge Magnet,0,2,2
396,Erick Vera,Dunellen,0,2,2
397,Ethan Pierre,Wardlaw-Hartridge,0,2,2
398,Jair Salazar,Middlesex,0,2,2
399,Jayden Callejas,St. Thomas Aquinas,0,2,2
400,Julio Garcia,New Brunswick,0,2,2
401,Justin Trott,Colonia,0,2,2
402,Kareem Elsayed,Colonia,0,2,2
403,Kevin Robledo,Edison,0,2,2
404,Krishay Patel,Somerset Tech,0,2,2
405,Lukas Estrela,South River,0,2,2
406,Luke Negron,East Brunswick,0,2,2
407,Matt Kugel,Old Bridge,0,2,2
408,Matthew Palacios,Carteret,0,2,2
409,Nikolas Siacavelas,Spotswood,0,2,2
410,Sebastian Badilla,Somerset Tech,0,2,2
411,Vedant Shah,Iselin Kennedy,0,2,2
412,AJ Ladzinski,Monroe,0,1,1
413,Adit Mehta,Wardlaw-Hartridge,0,1,1
414,Aiden Chow,J.P. Stevens,0,1,1
415,Akshit Arya,J.P. Stevens,0,1,1
416,Alex De Oliveira,Edison,0,1,1
417,Alexander Tenorio,New Brunswick,0,1,1
418,Andres Revalo,Piscataway Magnet,0,1,1
419,Andrew Nieves,Dunellen,0,1,1
420,Aneesh Jaaladi,Piscataway Magnet,0,1,1
421,Anthony Cedeno,Edison,0,1,1
422,Anthony Estrada-Dubon,Middlesex,0,1,1
423,Aprant Sahoo,Edison,0,1,1
424,Blake Naing,Piscataway,0,1,1
425,Brady Manesca,South Amboy,0,1,1
426,Caden Lise,Somerset Tech,0,1,1
427,Christopher Sciara,St. Joseph (Met.),0,1,1
428,Cianan McCoy,Middlesex,0,1,1
429,Daniel Hayes,Calvary Christian (Old Bridge),0,1,1
430,Drew Offenberg,Monroe,0,1,1
431,Dylan Palacios,Middlesex,0,1,1
432,Giovanni Nuzzo,Iselin Kennedy,0,1,1
433,Harrison Hassett,Metuchen,0,1,1
434,Hector Fuentes,St. Thomas Aquinas,0,1,1
435,Hunter Sibilia,Somerset Tech,0,1,1
436,Ilya Tyazhelnikov,Colonia,0,1,1
437,Ivan Xelhua,Piscataway Magnet,0,1,1
438,Jay Patel,Sayreville,0,1,1
439,Jayden Charco,Iselin Kennedy,0,1,1
440,Jesus Ramirez-Lopez,Piscataway Magnet,0,1,1
441,Joey Rossetti,Old Bridge,0,1,1
442,Jonathan Wisa,Calvary Christian (Old Bridge),0,1,1
443,Jordan Small,Woodbridge,0,1,1
444,Joseph Espana,Piscataway Magnet,0,1,1
445,Joseph Landis,Timothy Christian,0,1,1
446,Joshua Burrell,South Plainfield,0,1,1
447,Joshua Orellana,Calvary Christian (Old Bridge),0,1,1
448,Justin Kong,South Brunswick,0,1,1
449,Kyle Gould,Monroe,0,1,1
450,Kyrilos Azer,Timothy Christian,0,1,1
451,Landon Carmody,South River,0,1,1
452,Liam Swanstrom,East Brunswick Magnet,0,1,1
453,Logan Figueiredo,Iselin Kennedy,0,1,1
454,Logan Wojtowicz,Piscataway,0,1,1
455,Luis Umana,East Brunswick Magnet,0,1,1
456,Mateo Castillo,North Plainfield,0,1,1
457,Mateus Miranda,St. Thomas Aquinas,0,1,1
458,Mathew Goda,East Brunswick,0,1,1
459,Matthew Corbett,Woodbridge,0,1,1
460,Matthew Yasutis,Spotswood,0,1,1
461,Max Kalin,Woodbridge,0,1,1
462,Mbithi Matata,St. Joseph (Met.),0,1,1
463,Mohammed Ahmed,North Plainfield,0,1,1
464,Nick Ochs,Piscataway Magnet,0,1,1
465,Owais Daboor,Edison,0,1,1
466,Raphael Azer,Timothy Christian,0,1,1
467,Rohan Guddeti,South Brunswick,0,1,1
